State,District,population,population_proper,Location,EnergySource,WaterConsumption,SGD %,AQI,AQI_Bucket,Waste Type,Disposal Method,Recycling Rate (%),Cost of Waste Management (₹/Ton)
ANDHRA PRADESH,Anantapur,5690620,4656456.657,Urban,Mixed,224915244.7,47.1,377,Good,E-Waste,Landfill,20.06084068,3056
ANDHRA PRADESH,Chittoor,4402397,2880483.747,Suburban,Solar,212023847.3,82.7,311,Very Poor,Biodegradable,Landfill,82.18130291,2778
ANDHRA PRADESH,East Godavari,5960353,5499209.272,Rural,Thermal,230763326.4,67.1,135,Very Poor,Mixed,Recycling,70.51278411,3390
ANDHRA PRADESH,Guntur,4472323,3596533.313,Urban,Thermal,118994234.4,72.9,100,Very Poor,Mixed,Landfill,39.78976002,1498
ANDHRA PRADESH,Kadapa,9315873,7518150.908,Suburban,Solar,23832089.24,49.6,94,Severe,Non-Biodegradable,Incineration,14.72612148,2221
ANDHRA PRADESH,Krishna,3744548,2894272.134,Rural,Thermal,470134802,73.6,382,Good,Biodegradable,Recycling,36.63158085,3195
ANDHRA PRADESH,Kurnool,1281696,861136.5112,Urban,Solar,250529809.8,77.3,95,Moderate,Non-Biodegradable,Incineration,74.66499675,3686
ANDHRA PRADESH,Nellore,6054779,5082444.293,Suburban,Hydro,398320606.4,41.4,122,Severe,Non-Biodegradable,Recycling,34.71370779,1791
ANDHRA PRADESH,Prakasam,5099953,3168885.937,Rural,Thermal,330182286.5,60.5,95,Satisfactory,Non-Biodegradable,Incineration,31.21083649,1681
ANDHRA PRADESH,Srikakulam,9056118,8103921.68,Urban,Wind,242989405.1,48.8,372,Severe,E-Waste,Incineration,56.84674339,2311
ANDHRA PRADESH,Visakhapatnam,9278882,7992285.541,Suburban,Solar,249403882.3,79.6,82,Satisfactory,Mixed,Incineration,56.07402125,2543
ANDHRA PRADESH,Vizianagaram,6587948,5364704.384,Urban,Solar,448248273.1,92,360,Poor,E-Waste,Landfill,13.71555522,4756
ANDHRA PRADESH,West Godavari,2149453,2000554.118,Rural,Mixed,69768118.01,66.5,233,Very Poor,E-Waste,Recycling,89.56108692,3586
ARUNACHAL PRADESH,Anjaw,205461,189114.9446,Urban,Thermal,440555633,56.5,175,Moderate,Non-Biodegradable,Recycling,84.49398453,3520
ARUNACHAL PRADESH,Changlang,6021153,5205343.168,Suburban,Wind,285106943.4,52.3,74,Very Poor,Biodegradable,Recycling,27.97739282,3655
ARUNACHAL PRADESH,Dibang Valley,9443320,7677473.354,Rural,Solar,50006915.31,52.4,389,Poor,E-Waste,Incineration,84.17443684,1194
ARUNACHAL PRADESH,East Kameng,9710679,7358463.778,Urban,Thermal,227645147.6,40.4,255,Severe,E-Waste,Incineration,55.41328777,2383
ARUNACHAL PRADESH,East Siang,3196494,2373966.909,Suburban,Thermal,150771094.2,67.9,83,Moderate,E-Waste,Composting,30.04408258,2324
ARUNACHAL PRADESH,Kurung Kumey,3909279,2425656.403,Urban,Thermal,47057654.68,41.9,98,Moderate,Biodegradable,Landfill,40.0430081,2867
ARUNACHAL PRADESH,Lohit,2587917,1784162.919,Rural,Wind,490164977.1,93.1,224,Severe,Biodegradable,Recycling,19.46731249,826
ARUNACHAL PRADESH,Lower Dibang Valley,1245976,1152174.285,Urban,Mixed,218591973.6,59.5,239,Moderate,Mixed,Recycling,69.86765334,4287
ARUNACHAL PRADESH,Lower Subansiri,9445688,8803884.559,Suburban,Wind,429865231,75.8,113,Good,Biodegradable,Composting,61.48100068,3128
ARUNACHAL PRADESH,Papum Pare,6419629,5649203.421,Rural,Solar,273572101.3,69.3,376,Very Poor,Non-Biodegradable,Incineration,19.07919619,1565
ARUNACHAL PRADESH,Tawang,7113669,5133433.146,Urban,Thermal,136663381.5,55.2,288,Very Poor,Mixed,Landfill,59.10015509,1252
ARUNACHAL PRADESH,Tirap,1962361,1757511.445,Suburban,Solar,297744490.7,43.9,285,Satisfactory,Biodegradable,Incineration,68.29551643,2850
ARUNACHAL PRADESH,Upper Siang,7363990,5227803.565,Urban,Solar,261774763.2,59.6,215,Good,Biodegradable,Recycling,36.85126247,4240
ARUNACHAL PRADESH,Upper Subansiri,1974642,1859629.917,Rural,Hydro,348642464.2,50.9,177,Very Poor,E-Waste,Incineration,26.3225157,3219
ARUNACHAL PRADESH,West Kameng,4616940,3683968.792,Urban,Wind,172474868.4,70.9,65,Very Poor,Biodegradable,Recycling,72.14093401,2005
ARUNACHAL PRADESH,West Siang,984871,592869.8128,Suburban,Solar,296996408.9,53.8,173,Satisfactory,E-Waste,Landfill,45.06114908,4307
ASSAM,Baksa,5109123,4480407.531,Rural,Wind,161734290,87.3,70,Satisfactory,Biodegradable,Landfill,74.80645553,4183
ASSAM,Barpeta,6068009,5096557.613,Urban,Mixed,304846631.7,50.4,398,Very Poor,Mixed,Recycling,73.92834678,1337
ASSAM,Bongaigaon,9662762,6301772.83,Suburban,Thermal,325264602,69.3,397,Moderate,E-Waste,Recycling,24.84665406,682
ASSAM,Cachar,3153429,2005617.459,Urban,Solar,201031193.6,80.2,262,Good,Non-Biodegradable,Recycling,36.41045695,620
ASSAM,Chirang,2442412,1606196.487,Rural,Wind,123310048.1,81.4,96,Severe,Non-Biodegradable,Incineration,62.37404356,4345
ASSAM,Darrang,931567,724594.0953,Urban,Mixed,176030621.4,50.1,76,Satisfactory,E-Waste,Composting,44.82356028,913
ASSAM,Dhemaji,2742289,2378159.293,Suburban,Hydro,345568206.3,89.5,168,Severe,Non-Biodegradable,Landfill,12.03657939,2802
ASSAM,Dhubri,4103700,3146788.412,Rural,Solar,497034295.9,42.6,309,Poor,E-Waste,Incineration,66.17125806,2676
ASSAM,Dibrugarh,6470867,4353482.286,Urban,Hydro,36872068.9,68.3,237,Very Poor,Mixed,Composting,36.62976012,1674
ASSAM,Dima Hasao,8368492,6211717.755,Suburban,Solar,495838732.7,78.7,323,Good,E-Waste,Landfill,40.6681484,2594
ASSAM,Goalpara,4712494,4435126.855,Urban,Thermal,256156079.4,41.8,141,Severe,E-Waste,Incineration,83.02976249,1904
ASSAM,Golaghat,4818272,3377858.036,Rural,Thermal,499775787.9,70.1,126,Poor,E-Waste,Incineration,45.32950016,3496
ASSAM,Hailakandi,7075793,5320966.122,Urban,Wind,403912545.9,74.8,262,Severe,Non-Biodegradable,Recycling,73.27731158,3175
ASSAM,Jorhat,7155867,5210412.811,Suburban,Mixed,19829243.92,46.4,377,Very Poor,Biodegradable,Composting,69.26564893,4437
ASSAM,Kamrup,4809446,3427155.556,Rural,Hydro,250640610.9,80.9,393,Very Poor,E-Waste,Recycling,73.62370769,2360
ASSAM,Kamrup Metro (Rural),4167956,3894817.161,Urban,Wind,25383431.09,49.4,340,Severe,E-Waste,Incineration,26.97757821,2523
ASSAM,Kamrup Metro (U),7184454,4972354.154,Suburban,Solar,245840042.5,72.3,197,Satisfactory,E-Waste,Composting,62.19767678,3644
ASSAM,Karbi Anglong,6123546,4097522.233,Urban,Wind,306366172.4,71.1,382,Poor,Biodegradable,Landfill,53.9966075,2194
ASSAM,Karimganj,8757476,5570052.796,Rural,Wind,6622860.04,44.5,106,Very Poor,Biodegradable,Composting,10.5612297,3259
ASSAM,Kokrajhar,8588464,6264543.317,Urban,Wind,294303409.8,60.8,156,Poor,Mixed,Landfill,11.89732565,1687
ASSAM,Lakhimpur,1122121,718268.6507,Suburban,Solar,96674515.34,49,65,Severe,Non-Biodegradable,Composting,20.25968318,1135
ASSAM,Morigaon,7356738,6629026.469,Rural,Solar,188974158.6,66.1,340,Moderate,E-Waste,Recycling,88.08201764,4211
ASSAM,Nagaon,2925580,2193665.364,Urban,Mixed,382341844.9,53,390,Very Poor,E-Waste,Landfill,74.77253868,4262
ASSAM,Nalbari,2890347,1935668.861,Suburban,Hydro,405605622.1,56.7,302,Very Poor,Biodegradable,Recycling,40.08079057,4554
ASSAM,Sivasagar,4420984,3812665.175,Urban,Wind,209716125,75.9,132,Satisfactory,E-Waste,Recycling,36.86720508,4444
ASSAM,Sonitpur,1868328,1701402.588,Rural,Solar,492943001.6,91.7,169,Poor,Mixed,Incineration,66.70468901,2956
ASSAM,Tinsukia,6819483,5506141.195,Urban,Thermal,35184867.62,65.8,393,Satisfactory,Non-Biodegradable,Landfill,31.34927235,4993
ASSAM,Udalguri,9723845,7159200.508,Suburban,Hydro,60808035.88,50.7,318,Moderate,Non-Biodegradable,Incineration,68.06208565,3975
