state,population,peak_demand_MW,annual_generation_GWh,total_installed_capacity_MW,coal_MW,gas_MW,hydro_MW,nuclear_MW,solar_utility_MW,solar_rooftop_MW,wind_MW,biomass_MW,other_renewables_MW,renewables_share_percent,CO2_emissions_MtCO2,TnD_losses_percent,storage_capacity_MWh,pumped_hydro_MW_MWh,battery_storage_MW_MWh,microgrid_projects_count,stranded_renewable_capacity_MW,avg_retail_tariff_INR_per_kWh,domestic_tariff_INR_per_kWh,industrial_tariff_INR_per_kWh,commercial_tariff_INR_per_kWh,major_DISCOMs,RPO_target_percent,recent_policies_notes,major_projects_under_construction,grid_constraints_notes,resource_score_solar,resource_score_wind,notes,year,CO2_per_MWh,renewables_to_demand_ratio
Andhra Pradesh,111000000,41761,144986,47678,32650.17571113491,8691.828834619275,4641.835797166749,3489.496424092952,3585.281270950539,1122.184482901264,1930.3746796460514,617.2661908175322,919.4405826843108,12.10207431513345,687.40517815491,23.33146863888829,295.02592576860184,686.6404417148617,713.8742824821653,85,784,7.09,7.69,7.96,7.57,DISCOM-3,15.268163195105704,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.6,8.4,Notes placeholder,2015,0.00474118313599182,0.17372923599328047
Arunachal Pradesh,147000000,48788,92079,7212,3556.0585390750125,774.6694951271061,650.125339870969,214.39608995742145,797.7485177183096,119.05738298397225,605.7158868666312,73.42801749984828,201.9822834186841,53.15705662932418,148.07982123575286,16.980783099236817,16.96403669797031,26.44779134892414,28.414049492194167,91,352,8.18,7.51,7.7,7.94,DISCOM-5,17.119727939654062,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.5,4.4,Notes placeholder,2015,0.0016081823351225889,0.03271193336617122
Assam,35000000,2674,62256,46849,32223.597935464728,5000.813478088994,8743.676227509646,822.4548231572181,3884.4842748508354,2181.659708264522,4818.274918541317,1046.0726513693241,788.9884894020269,44.30718209890976,422.34126319440384,15.753026640808937,269.0566286302161,685.0489344723821,500.17799984318657,100,848,5.02,4.72,5.45,5.02,DISCOM-3,10.193110024505271,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.1,7.4,Notes placeholder,2015,0.006783944731341619,4.461664754310396
Bihar,122000000,25764,15341,3472,2069.9944017292974,418.5324749307716,346.4431967656589,176.81848478631647,411.772535295695,159.49679471873247,167.53066415864492,95.62844967833034,153.14260709510833,48.32954082991021,54.19049398004557,10.492256033882462,15.753774529065852,39.6570043382084,36.689733063562464,23,163,7.93,8.35,7.84,8.83,DISCOM-4,12.061546164078354,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.3,7.6,Notes placeholder,2015,0.0035323964526462136,0.032387379438418046
Chhattisgarh,20000000,3675,7406,18997,12490.338826664713,2474.162174377255,1427.9560559634904,1496.8999197922296,1135.4961031643675,611.5590574661635,2480.8487787645245,975.302651943646,854.4610719892556,22.40900604870445,198.57792405815434,17.070037823002377,77.79709674280478,193.42166705456413,177.9564756771725,68,258,7.19,6.82,7.78,7.33,DISCOM-3,14.945724992541228,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.4,6.7,Notes placeholder,2015,0.026813114239556353,1.4158385282554289
Goa,85000000,32694,109861,28689,8698.905250111797,4553.026196997612,3509.4403991727154,1810.083497094617,1774.3182464689764,151.32090609060145,1128.3958839480072,1223.1146716115816,346.999727241064,38.96522430834915,213.90501662293377,24.226137687120804,237.2012111205892,802.9523165138687,381.0689801837295,10,787,6.61,6.65,7.53,6.06,DISCOM-2,10.941425137644472,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.9,6.5,Notes placeholder,2015,0.0019470514251912305,0.13082368961030055
Gujarat,120000000,49014,7796,37153,15140.858567146524,2662.619624168205,7407.442248360026,3590.687951807064,4886.30160612343,1821.2364421600005,3876.5775648882886,693.3241599333583,766.9419747559165,24.039800977973687,598.835056560738,11.772133050787255,83.06354462436512,246.3037722351182,214.3451028090427,92,573,6.98,6.42,7.01,6.79,DISCOM-4,14.490825420024692,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.9,4.6,Notes placeholder,2015,0.07681311654191099,0.230086093220408
Haryana,79000000,3370,52631,27846,17329.106491618968,4295.453058675108,2121.2657318993524,1870.138946935813,2863.21574094829,574.6494460580425,943.6887750222231,821.6971936378715,1212.7782339985265,36.6801047932271,662.5454469155325,16.4880581505359,121.82478637221158,286.3555483984314,344.96840943297315,75,97,6.5,6.51,5.8,6.0,DISCOM-2,15.372708265674504,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.1,4.0,Notes placeholder,2015,0.012588501964916732,1.543991440850572
Himachal Pradesh,68000000,15505,73622,27270,15188.2714042353,1591.5936294771432,4893.982087325254,989.284383063904,2084.095226699433,578.2869149877026,3844.0038089812347,1260.4566568331688,486.2587018564673,56.11114704194952,172.3218764745314,18.46298711427181,69.57413741513508,146.12721632199984,203.8700849511309,59,578,8.62,9.47,8.63,10.17,DISCOM-5,14.978622864178918,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.2,7.6,Notes placeholder,2015,0.0023406301985076663,0.5009250311190931
Jharkhand,130000000,25420,167715,19482,11452.09955319425,1403.835743470588,2400.6405367629573,608.9829512407271,1900.998546381212,145.5364328290339,1721.3562519478353,209.05607982905372,803.8910169767522,19.164587999482173,268.1143770163165,18.089836850623573,78.55740230155395,237.35976841947544,186.1076417939951,64,572,5.27,4.81,5.97,4.75,DISCOM-1,16.540345255438393,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.3,4.1,Notes placeholder,2015,0.0015986308739010613,0.15644954016471813
Karnataka,125000000,11522,98916,40497,14665.30632862524,2560.2788646051845,7394.542014278887,985.288497792352,5100.429881803198,1649.2269199609566,1490.7909659523173,2045.6734715459033,1252.962082702901,37.10459956660495,849.3817396746056,20.3167021740112,324.68924547317664,661.0032270433657,886.5357765767452,26,221,6.9,7.03,6.99,6.38,DISCOM-4,13.380154577072014,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.0,6.8,Notes placeholder,2015,0.008586899386091286,0.8927374795402165
Kerala,123000000,38737,39805,21545,10215.226345026116,3856.395873374845,3214.7375538270844,1220.185610894372,2130.4248483513356,457.3952152528298,1525.2685304445138,1163.4034370589206,552.1088655606984,52.33046037844376,279.19171752242977,18.25052234987664,116.22733131032689,389.4610547405412,202.53181296351585,10,137,6.55,6.65,6.39,6.64,DISCOM-4,17.359601761069644,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.9,5.5,Notes placeholder,2015,0.007013986120397683,0.13621323362954282
Madhya Pradesh,10000000,1739,126553,43249,14505.953522779597,5558.901339007415,2648.702433279841,2535.18802699728,5331.605456894985,818.4436253770315,3658.048012535391,1370.6332267953449,1563.8663732287716,13.388792466933204,756.7777898143676,21.916545749556537,110.88122422819053,304.0297483576132,248.21113543625663,29,75,7.51,6.91,7.92,7.78,DISCOM-2,12.73275692245413,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.7,3.4,Notes placeholder,2015,0.005979927696809776,6.42825205382562
