state,population_x,peak_demand_MW_x,annual_generation_GWh_x,total_installed_capacity_MW_x,coal_MW_x,gas_MW_x,hydro_MW_x,nuclear_MW_x,solar_utility_MW_x,solar_rooftop_MW_x,wind_MW_x,biomass_MW_x,other_renewables_MW_x,renewables_share_percent_x,CO2_emissions_MtCO2_x,TnD_losses_percent_x,storage_capacity_MWh_x,pumped_hydro_MW_MWh_x,battery_storage_MW_MWh_x,microgrid_projects_count_x,stranded_renewable_capacity_MW_x,avg_retail_tariff_INR_per_kWh_x,domestic_tariff_INR_per_kWh_x,industrial_tariff_INR_per_kWh_x,commercial_tariff_INR_per_kWh_x,major_DISCOMs_x,RPO_target_percent_x,recent_policies_notes_x,major_projects_under_construction_x,grid_constraints_notes_x,resource_score_solar_x,resource_score_wind_x,notes_x,year,CO2_per_MWh,renewables_to_demand_ratio,population_y,peak_demand_MW_y,annual_generation_GWh_y,total_installed_capacity_MW_y,coal_MW_y,gas_MW_y,hydro_MW_y,nuclear_MW_y,solar_utility_MW_y,solar_rooftop_MW_y,wind_MW_y,biomass_MW_y,other_renewables_MW_y,renewables_share_percent_y,CO2_emissions_MtCO2_y,TnD_losses_percent_y,storage_capacity_MWh_y,pumped_hydro_MW_MWh_y,battery_storage_MW_MWh_y,microgrid_projects_count_y,stranded_renewable_capacity_MW_y,avg_retail_tariff_INR_per_kWh_y,domestic_tariff_INR_per_kWh_y,industrial_tariff_INR_per_kWh_y,commercial_tariff_INR_per_kWh_y,major_DISCOMs_y,RPO_target_percent_y,recent_policies_notes_y,major_projects_under_construction_y,grid_constraints_notes_y,resource_score_solar_y,resource_score_wind_y,notes_y,total_generation_MW,coal_MW_pct,gas_MW_pct,hydro_MW_pct,nuclear_MW_pct,solar_utility_MW_pct,solar_rooftop_MW_pct,wind_MW_pct,biomass_MW_pct,other_renewables_MW_pct,CO2_intensity_kg_per_MWh,grid_reliability_index,renewable_share_ratio,CO2_efficiency_score,ESS
Andhra Pradesh,111000000,41761,144986,47678,32650.17571113491,8691.828834619275,4641.835797166749,3489.496424092952,3585.281270950539,1122.184482901264,1930.3746796460516,617.2661908175322,919.4405826843108,12.10207431513345,687.40517815491,23.33146863888829,295.02592576860184,686.6404417148617,713.8742824821653,85,784,7.09,7.69,7.96,7.57,DISCOM-3,15.268163195105704,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.6,8.4,Notes placeholder,2015,0.0047411831359918,0.1737292359932804,111000000,41761,144986,47678,32650.17571113491,8691.828834619275,4641.835797166749,3489.496424092952,7170.562541901078,2244.368965802528,3217.291132743419,881.8088440250461,919.4405826843108,22.58518666549184,859.2564726936374,23.33146863888829,1475.1296288430094,686.6404417148617,713.8742824821653,85,784,7.09,7.69,7.96,7.57,DISCOM-3,15.268163195105704,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.6,8.4,Notes placeholder,63906.80883417027,51.09029273525112,13.60078682253314,7.263444821993382,5.460288954730527,11.220342046037286,3.511940287343042,5.034347969231049,1.3798355137920024,1.438720849088456,5926.478919989774,76.66853136111172,0.1210207431513345,4.2059050562651805,21.856898020781795
Arunachal Pradesh,147000000,48788,92079,7212,3556.0585390750125,774.6694951271061,650.125339870969,214.39608995742145,797.7485177183096,119.05738298397225,605.7158868666312,73.42801749984828,201.9822834186841,53.15705662932418,148.07982123575286,16.980783099236817,16.96403669797031,26.44779134892414,28.414049492194167,91,352,8.18,7.51,7.7,7.94,DISCOM-5,17.119727939654062,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.5,4.4,Notes placeholder,2015,0.0016081823351225,0.0327119333661712,147000000,48788,92079,7212,3556.0585390750125,774.6694951271061,650.125339870969,214.39608995742145,1595.4970354366192,238.1147659679445,1009.526478111052,104.89716785692612,201.9822834186841,37.74615787911287,185.09977654469105,16.980783099236817,84.82018348985157,26.44779134892414,28.414049492194167,91,352,8.18,7.51,7.7,7.94,DISCOM-5,17.119727939654062,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.5,4.4,Notes placeholder,8345.267194821734,42.61167984269645,9.282740468846717,7.790347806651103,2.569074002692867,19.118585399238388,2.8532910979254864,12.096994075126396,1.2569659593645506,2.420321347458051,2010.227918903236,83.01921690076318,0.5315705662932418,12.39969230406149,42.8265429535069
Assam,35000000,2674,62256,46849,32223.597935464728,5000.813478088994,8743.676227509646,822.4548231572181,3884.4842748508354,2181.659708264522,4818.274918541317,1046.072651369324,788.9884894020269,44.30718209890976,422.34126319440384,15.753026640808937,269.0566286302161,685.0489344723821,500.17799984318657,100,848,5.02,4.72,5.45,5.02,DISCOM-3,10.193110024505271,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.1,7.4,Notes placeholder,2015,0.0067839447313416,4.461664754310396,35000000,2674,62256,46849,32223.597935464728,5000.813478088994,8743.676227509646,822.4548231572181,7768.968549701671,4363.319416529044,8030.458197568862,1494.3895019561774,788.9884894020269,32.41941770327145,527.9265789930048,15.753026640808937,1345.2831431510808,685.0489344723821,500.17799984318657,100,848,5.02,4.72,5.45,5.02,DISCOM-3,10.193110024505271,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.1,7.4,Notes placeholder,69236.66661937836,46.54123242618067,7.222781977041826,12.62867878313254,1.1878891103735267,11.220887614955233,6.302035654772284,11.59856271203162,2.1583787535171703,1.1395529679951406,8479.930914177025,84.24697335919106,0.44307182098909764,2.939435227445257,35.74804160238022
Bihar,122000000,25764,15341,3472,2069.9944017292974,418.5324749307716,346.4431967656589,176.81848478631647,411.772535295695,159.49679471873247,167.53066415864492,95.62844967833034,153.14260709510833,48.32954082991021,54.19049398004557,10.492256033882462,15.753774529065852,39.6570043382084,36.689733063562464,23,163,7.93,8.35,7.84,8.83,DISCOM-4,12.061546164078354,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.3,7.6,Notes placeholder,2015,0.0035323964526462,0.032387379438418,122000000,25764,15341,3472,2069.9944017292974,418.5324749307716,346.4431967656589,176.81848478631647,823.54507059139,318.99358943746495,279.21777359774154,136.61207096904334,153.14260709510833,36.235497031802176,67.73811747505695,10.492256033882462,78.76887264532928,39.6570043382084,36.689733063562464,23,163,7.93,8.35,7.84,8.83,DISCOM-4,12.061546164078354,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.3,7.6,Notes placeholder,4723.299669902792,43.825176177566114,8.8610188677566,7.334770625993098,3.743537296882023,17.435799719401228,6.753617422796933,5.911498171012469,2.892301579752506,3.242280138839044,4415.495565807767,89.50774396611754,0.48329540829910206,5.645166501457923,39.49143172577077
Chhattisgarh,20000000,3675,7406,18997,12490.338826664713,2474.162174377255,1427.9560559634904,1496.8999197922296,1135.4961031643677,611.5590574661635,2480.8487787645245,975.302651943646,854.4610719892556,22.40900604870445,198.57792405815437,17.070037823002377,77.79709674280478,193.42166705456413,177.9564756771725,68,258,7.19,6.82,7.78,7.33,DISCOM-3,14.945724992541228,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.4,6.7,Notes placeholder,2015,0.0268131142395563,1.4158385282554289,20000000,3675,7406,18997,12490.338826664713,2474.162174377255,1427.9560559634904,1496.8999197922296,2270.992206328735,1223.118114932327,4134.747964607541,1393.2895027766372,854.4610719892556,35.570917714375064,248.2224050726929,17.070037823002377,388.985483714024,193.42166705456413,177.9564756771725,68,258,7.19,6.82,7.78,7.33,DISCOM-3,14.945724992541228,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.4,6.7,Notes placeholder,27765.965837432184,44.98434846385242,8.910772954426667,5.142828685751739,5.391132181594098,8.179049918973602,4.405098393096063,14.891424951021712,5.0179760031912855,3.07736844809241,33516.392799445435,82.92996217699762,0.2240900604870445,0.743701979046099,25.847075646499746
Goa,85000000,32694,109861,28689,8698.905250111797,4553.026196997612,3509.4403991727154,1810.083497094617,1774.3182464689764,151.32090609060143,1128.3958839480072,1223.1146716115816,346.999727241064,38.96522430834915,213.90501662293377,24.226137687120804,237.2012111205892,802.9523165138687,381.0689801837295,10,787,6.61,6.65,7.53,6.06,DISCOM-2,10.941425137644472,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.9,6.5,Notes placeholder,2015,0.0019470514251912,0.1308236896103005,85000000,32694,109861,28689,8698.905250111797,4553.026196997612,3509.4403991727154,1810.083497094617,3548.636492937953,302.6418121812029,1880.659806580012,1747.3066737308309,346.999727241064,29.64744866162285,267.3812707786672,24.226137687120804,1186.0060556029462,802.9523165138687,381.0689801837295,10,787,6.61,6.65,7.53,6.06,DISCOM-2,10.941425137644472,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.9,6.5,Notes placeholder,26397.69985604781,32.9532697831582,17.247814096781987,13.29449315020032,6.856974308236634,13.442976139168987,1.1464703888277092,7.124332107856535,6.619162590904741,1.3145074348648795,2433.814281489038,75.7738623128792,0.3896522430834915,10.241622725701092,34.83751127619594
Gujarat,120000000,49014,7796,37153,15140.858567146524,2662.619624168205,7407.442248360026,3590.687951807064,4886.30160612343,1821.2364421600005,3876.5775648882886,693.3241599333583,766.9419747559165,24.039800977973687,598.835056560738,11.772133050787255,83.06354462436512,246.3037722351182,214.3451028090427,92,573,6.98,6.42,7.01,6.79,DISCOM-4,14.490825420024692,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.9,4.6,Notes placeholder,2015,0.0768131165419109,0.230086093220408,120000000,49014,7796,37153,15140.858567146524,2662.619624168205,7407.442248360026,3590.687951807064,9772.60321224686,3642.472884320001,6460.962608147148,990.4630856190832,766.9419747559165,42.89366787592493,748.5438207009225,11.772133050787255,415.3177231218257,246.3037722351182,214.3451028090427,92,573,6.98,6.42,7.01,6.79,DISCOM-4,14.490825420024692,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.9,4.6,Notes placeholder,50435.052156570826,30.020507404539146,5.279303798283692,14.687091480275116,7.119429440977109,19.37660970768652,7.22210591358623,12.810460843957696,1.963838725781992,1.520652684912505,96016.39567738872,88.22786694921274,0.24039800977973688,0.25960365914156025,27.36533524468865
Haryana,79000000,3370,52631,27846,17329.106491618968,4295.453058675108,2121.2657318993524,1870.138946935813,2863.21574094829,574.6494460580425,943.6887750222232,821.6971936378715,1212.7782339985265,36.6801047932271,662.5454469155325,16.4880581505359,121.82478637221158,286.3555483984314,344.96840943297315,75,97,6.5,6.51,5.8,6.0,DISCOM-2,15.372708265674504,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.1,4.0,Notes placeholder,2015,0.0125885019649167,1.543991440850572,79000000,3370,52631,27846,17329.106491618968,4295.453058675108,2121.2657318993524,1870.138946935813,5726.43148189658,1149.298892116085,1572.8146250370387,1173.8531337683878,1212.7782339985265,29.725205273883027,828.1818086444156,16.4880581505359,609.123931861058,286.3555483984314,344.96840943297315,75,97,6.5,6.51,5.8,6.0,DISCOM-2,15.372708265674504,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.1,4.0,Notes placeholder,36451.14059594586,47.54064264739724,11.784138955456587,5.819476968946431,5.1305361543166965,15.709882841179132,3.1529847168730605,4.31485709177498,3.2203467836036523,3.327133840452205,15735.627456145914,83.51194184946411,0.36680104793227103,1.5840618828134811,32.00805504030906
Himachal Pradesh,68000000,15505,73622,27270,15188.2714042353,1591.5936294771432,4893.982087325254,989.284383063904,2084.095226699433,578.2869149877026,3844.003808981234,1260.4566568331688,486.2587018564673,56.11114704194952,172.3218764745314,18.46298711427181,69.57413741513508,146.12721632199984,203.8700849511309,59,578,8.62,9.47,8.63,10.17,DISCOM-5,14.978622864178918,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.2,7.6,Notes placeholder,2015,0.0023406301985076,0.5009250311190931,68000000,15505,73622,27270,15188.2714042353,1591.5936294771432,4893.982087325254,989.284383063904,4168.190453398866,1156.5738299754053,6406.673014968725,1800.652366904527,486.2587018564673,38.216419883615934,215.40234559316423,18.46298711427181,347.8706870756755,146.12721632199984,203.8700849511309,59,578,8.62,9.47,8.63,10.17,DISCOM-5,14.978622864178918,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.2,7.6,Notes placeholder,36681.47987120559,41.40583056507997,4.338956975196958,13.341833820524116,2.696958755583025,11.363201452160691,3.153018455188604,17.465688509470052,4.908886918485565,1.3256245483110214,2925.7877481345827,81.53701288572819,0.5611114704194953,8.519485964532594,42.159655779738486
Jharkhand,130000000,25420,167715,19482,11452.09955319425,1403.835743470588,2400.6405367629573,608.9829512407271,1900.998546381212,145.5364328290339,1721.3562519478353,209.0560798290537,803.8910169767522,19.164587999482173,268.1143770163165,18.089836850623573,78.55740230155395,237.35976841947544,186.1076417939951,64,572,5.27,4.81,5.97,4.75,DISCOM-1,16.540345255438393,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.3,4.1,Notes placeholder,2015,0.001598630873901,0.1564495401647181,130000000,25420,167715,19482,11452.09955319425,1403.835743470588,2400.6405367629573,608.9829512407271,3801.997092762424,291.0728656580678,2868.9270865797257,298.6515426129339,803.8910169767522,33.700403038083024,335.1429712703956,18.089836850623573,392.7870115077698,237.35976841947544,186.1076417939951,64,572,5.27,4.81,5.97,4.75,DISCOM-1,16.540345255438393,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.3,4.1,Notes placeholder,23930.098389258423,47.85646664258926,5.86640188700909,10.031887448655622,2.544840983662997,15.887929213316724,1.2163462971331642,11.988780990000064,1.2480163589590192,3.3593301786740546,1998.2885923763265,81.91016314937643,0.19164587999482172,12.473777686831628,29.037378904400807
