datetime,state,district_name,market_name,commodity_name,variety,tempmax,tempmin,temp,dew,humidity,precip,windspeed,solarradiation,uvindex,min_price,max_price,modal_price
01-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,29,16.4,22.3,17,74.7,0,22.3,253.1,9,,,
02-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,29,16.3,22.2,16.1,71.8,0,15.8,255.9,9,,,
03-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,30,15.7,22.4,16.7,72.5,0,17.3,211.3,8,700,1100,900
04-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,15.6,23,12.2,57.3,0,18.4,236.2,8,700,1100,900
05-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,15.6,23,14.1,63.6,0,16.6,254,9,,,
06-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,14.8,23.6,12.3,57.1,0,18.4,256.6,9,800,1000,900
07-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,15.7,22.7,13.8,63.9,0,20.5,260.8,9,800,1000,900
08-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,30,15.4,22.4,15.8,69.5,0,20.5,238.2,9,800,1200,1000
09-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,16,22.7,16.3,70.4,0,22.3,250.3,9,800,1200,1000
10-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,30.9,18,23.5,16.1,67.2,0,15.8,250.7,9,800,1100,900
11-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,16.5,22.8,14.3,63.3,0,14.8,245,9,,,
12-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,16.4,23.4,13.9,61.9,0,14.8,257.2,9,,,
13-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,16,23.1,14.6,64.5,0,16.6,256.8,9,800,1100,900
14-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,17.8,24.2,14.6,59.8,0,16.6,234.8,9,,,
15-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,17.2,24,15.5,62.9,0,13,251.7,9,,,
16-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,17.1,24.1,17.3,68.7,0,16.6,242.6,9,800,1000,900
17-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,30,18.6,24.1,16.6,66.5,0,14.8,217.7,8,800,1000,900
18-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,17.2,23.3,15.9,66.5,0,14.8,215.3,8,800,1000,900
19-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,30,17.8,23.8,17.4,70.8,0,20.5,223.9,9,,,
