Year,Total_Water_Availability_Litre,Water_Demand_Agriculture,Water_Demand_Industry,Water_Demand_Energy,Water_Demand_Domestic,Water_Demand_Other,PerCapita_Availability,PerCapita_Demand,Crisis_Status
1925,1095942780472.68,174000000000,14500000000,5800000000,6351000000000.0,8700000000,3779.11,61.92,Normal
1926,1114699041651.13,176557834800,14713152900,5885261160,6484638226263.75,8827891740,3788.1,62.29,Normal
1927,1132607697272.04,179153270400,14929439200,5971775680,6620833049220.0,8957663520,3793.2,62.67,Normal
1928,1144456124129.36,181786859400,15148904950,6059561980,6759630750001.88,9089342970,3777.36,63.04,Normal
1929,1167122589854.59,184459162200,15371596850,6148638740,6901078405807.5,9222958110,3796.36,63.42,Normal
1930,1180233983908.95,187170748800,15597562400,6239024960,7045223966550.0,9358537440,3783.39,63.79,Normal
1931,1199923124078.3,189922196400,15826849700,6330739880,7192116174922.5,9496109820,3790.78,64.17,Normal
1932,1220424378117.77,192714091200,16059507600,6423803040,7341804643185.0,9635704560,3799.69,64.54,Normal
1933,1235888608298.24,195547027200,16295585600,6518234240,7494339817440.0,9777351360,3792.1,64.92,Normal
1934,1252025200361.38,198421607400,16535133950,6614053580,7649773032793.12,9921080370,3785.95,65.29,Normal
1935,1272242819788.02,201338445000,16778203750,6711281500,7808156570156.25,10066922250,3791.36,65.67,Normal
1936,1291223809378.67,204298160400,17024846700,6809938680,7969543550853.75,10214908020,3792.17,66.04,Normal
1937,1308918157791.4,207301384200,17275115350,6910046140,8133988062547.5,10365069210,3788.45,66.42,Normal
1938,1328919651533.39,210348755400,17529062950,7011625180,8301545099833.12,10517437770,3790.62,66.79,Normal
1939,1358544265076.55,213440924400,17786743700,7114697480,8472270692902.5,10672046220,3818.98,67.17,Normal
1940,1373076885088.63,216578549400,18048212450,7219284980,8646221776828.12,10828927470,3803.91,67.54,Normal
1941,1388739416976.36,219762297600,18313524800,7325409920,8823456248640.0,10988114880,3791.57,67.92,Normal
1942,1414872639371.73,222992847600,18582737300,7433094920,9004033074498.75,11149642380,3806.95,68.29,Normal
1943,1430029255763.88,226270887000,18855907250,7542362900,9188012205243.75,11313544350,3791.99,68.67,Normal
1944,1459892052742.17,229597114200,19133092850,7653237140,9375454660160.62,11479855710,3815.1,69.04,Normal
