Year,Population
1925,290000000
1926,294263058
1927,298588784
1928,302978099
1929,307431937
1930,311951248
1931,316536994
1932,321190152
1933,325911712
1934,330702679
1935,335564075
1936,340496934
1937,345502307
1938,350581259
1939,355734874
1940,360964249
1941,366270496
1942,371654746
1943,377118145
1944,382661857
1945,388287063
1946,393994961
1947,399786766
1948,405663712
1949,411627050
1950,417678050
1951,425905775
1952,434295575
1953,442850644
1954,451574236
1955,460469673
1956,469540337
1957,478789683
1958,488221228
1959,497838564
1960,507645348
1961,517645314
1962,527842265
1963,538240084
1964,548842727
1965,559654229
1966,570678703
1967,581920345
1968,593383434
1969,605072330
1970,616991484
1971,629145429
1972,641538791
1973,654176287
1974,667062725
1975,680203010
1976,693602142
1977,707265219
1978,721197442
1979,735404111
1980,749890634
1981,763163185
1982,776670651
1983,790417190
1984,804407032
1985,818644485
1986,833133932
1987,847879831
1988,862886723
1989,878159227
1990,893702044
1991,909519958
1992,925617838
1993,942000640
1994,958673407
1995,975641269
1996,992909452
1997,1010483269
1998,1028368131
1999,1046569543
2000,1065093107
2001,1083944526
2002,1103129602
2003,1122654241
2004,1142524452
2005,1162746353
2006,1176351750
2007,1190116345
2008,1204042000
2009,1218130601
2010,1232384053
2011,1246804287
2012,1261393253
2013,1276152926
2014,1291085303
2015,1306192406
2016,1321476278
2017,1336938987
2018,1352582627
2019,1368409315
2020,1384421192
2021,1400620426
2022,1417009208
2023,1433589756
2024,1450364315
2025,1467335156
2026,1477606502
2027,1487949747
2028,1498365395
2029,1508853952
2030,1519415929
2031,1530051840
2032,1540762202
2033,1551547537
2034,1562408369
2035,1573345227
2036,1584358643
2037,1595449153
2038,1606617297
2039,1617863618
2040,1629188663
2041,1640592983
2042,1652077133
2043,1663641672
2044,1675287163
2045,1687014173
2046,1698823272
2047,1710715034
2048,1722690039
2049,1734748869
2050,1746892111
2051,1759120355
2052,1771434197
2053,1783834236
2054,1796321075
2055,1808895322
2056,1821557589
2057,1834308492
2058,1847148651
2059,1860078691
2060,1873099241
2061,1876845439
2062,1880599129
2063,1884360327
2064,1888129047
2065,1891905305
2066,1895689115
2067,1899480493
2068,1903279453
2069,1907086011
2070,1910900183
2071,1914721983
2072,1918551426
2073,1922388528
2074,1926233305
2075,1930085771
2076,1933945942
2077,1937813833
2078,1941689460
2079,1945572838
2080,1949463983
2081,1947514519
2082,1945567004
2083,1943621436
2084,1941677814
2085,1939736136
2086,1937796399
2087,1935858602
2088,1933922743
2089,1931988820
2090,1930056831
2091,1928126774
2092,1926198647
2093,1924272448
2094,1922348175
2095,1920425826
2096,1918505400
2097,1916586894
2098,1914670307
2099,1912755636
2100,1910842880
2101,1908932037
2102,1907023104
2103,1905116080
2104,1903210963
2105,1901307752
2106,1899406444
2107,1897507037
2108,1895609529
2109,1893713919
2110,1891820205
2111,1889928384
2112,1888038455
2113,1886150416
2114,1884264265
2115,1882380000
2116,1880497620
2117,1878617122
2118,1876738504
2119,1874861765
2120,1872986903
2121,1871113916
2122,1869242802
2123,1867373559
2124,1865506185
2125,1863640678
